Name Afonso2013$Liu2023
# Major elements
Citation Afonso, J. C., J. Fullea, W. L. Griffin, Y. Yang, A. G. Jones, J. A. D. Connolly, and S. Y. O'Reilly (2013), 3-D multi-observable probabilistic inversion for the compositional and thermal structure of the lithosphere and upper mantle. I: a priori petrological information and geophysical observables, J. Geophys. Res. Solid Earth, 118, 2586–2617, doi:10.1002/jgrb.50124.
# Mg#
Citation Xiao-Ning Liu, Remco C. Hin, Christopher D. Coath, Michael Bizimis, Li Su, Dmitri A. Ionov, Eiichi Takazawa, Richard Brooker, Tim Elliott, The magnesium isotopic composition of the mantle, Geochimica et Cosmochimica Acta, 2023, 358, 12-26, ISSN 0016-7037, https://doi.org/10.1016/j.gca.2023.08.011.
Depth	SiO2Min SiO2Max  TiO2Max TiO2Min Al2O3Max Al2O3Min  FeOMax FeOMin  MgOMin MgOMax CaOMax CaOMin Na2OMax Na2OMin MgNumMin MgNumMax  
0       NaN     NaN      NaN     NaN     NaN      NaN       NaN    NaN     NaN    NaN    NaN    NaN    NaN     NaN         NaN     NaN     
20000   NaN     NaN      NaN     NaN     NaN      NaN       NaN    NaN     NaN    NaN    NaN    NaN    NaN     NaN       NaN     NaN       
35000   NaN     NaN      NaN     NaN     NaN      NaN       NaN    NaN     NaN    NaN    NaN    NaN    NaN     NaN       NaN     NaN      Moho
200000  40.0  48.0       0.5     0.0     5.0      0.2      10.0    5.5    35.0   53.0    5.0    0.1    1.0     0.0      88.5    92.5        LAB
410000  40.0  48.0       0.5     0.0     5.0      0.2      10.0    5.5    35.0   53.0    5.0    0.1    1.0     0.0      88.5    92.5    410km
