Model ak135-f - spherical average structure
# Kennett B.L.N., Engdahl E.R. & Buland R. (1995) Constraints on seismic velocities in the earth from travel times Geophys. J. Int, 122, 108-124
# Montagner J.P. & Kennett B.L.N. (1995) How to reconcile body-wave and normal-mode reference Earth models? Geophys. J. Int., 125, 229-248
Depth	Vp	Vs	Density	ShearQualityFactor	BulkQualityFactor
# m, m/sec, m/sec, kg/m3, 1, 1
5458170	11131.6	3576.5	12838.7	617.78	85.03
5508890	11145.7	3586.4	12857.4	615.93	85.03
5559600	11159	3595.7	12875.1	614.21	85.03
5610310	11171.5	3604.4	12891.7	612.62	85.03
5661020	11183.2	3612.6	12907.2	611.12	85.03
5711740	11194.1	3620.2	12921.7	609.74	85.03
5762450	11204.1	3627.2	12935.1	608.48	85.03
5813160	11213.4	3633.7	12947.4	607.31	85.03
5863870	11221.9	3639.6	12958.6	606.26	85.03
5914590	11229.5	3645	12968.8	605.28	85.03
5965300	11236.4	3649.8	12977.9	604.44	85.03
6016010	11242.4	3654	12985.9	603.69	85.03
6066720	11247.7	3657.7	12992.9	603.04	85.03
6117440	11252.1	3660.8	12998.8	602.49	85.03
6168150	11255.7	3663.3	13003.6	602.05	85.03
6218860	11258.6	3665.3	13007.4	601.7	85.03
6269570	11260.6	3666.7	13010	601.46	85.03
6320290	11261.8	3667.5	13011.7	601.32	85.03
6371000	11262.2	3667.8	13012.2	601.27	85.03

